Location,BusinessYear,StateCode,IssuerId,PlanId
Alabama,2023,AL,53932.0,53932AL0100002-01
Alabama,2023,AL,53932.0,53932AL0100002-02
Alabama,2023,AL,53932.0,53932AL0100002-03
Alabama,2023,AL,53932.0,53932AL0100003-00
Alabama,2023,AL,53932.0,53932AL0100003-01
Alabama,2023,AL,53932.0,53932AL0100003-02
Alabama,2023,AL,53932.0,53932AL0100003-03
Alabama,2023,AL,53932.0,53932AL0100004-00
Alabama,2023,AL,53932.0,53932AL0100004-01
Alabama,2023,AL,53932.0,53932AL0100004-02
Alabama,2023,AL,53932.0,53932AL0100004-03
Alabama,2023,AL,53932.0,53932AL0100004-04
Alabama,2023,AL,53932.0,53932AL0100004-05
Alabama,2023,AL,53932.0,53932AL0100004-06
Alabama,2023,AL,53932.0,53932AL0100005-00
Alabama,2023,AL,53932.0,53932AL0100005-01
Alabama,2023,AL,53932.0,53932AL0100005-02
Alabama,2023,AL,53932.0,53932AL0100005-03
Alabama,2023,AL,53932.0,53932AL0100005-04
Alabama,2023,AL,53932.0,53932AL0100005-05
Alabama,2023,AL,53932.0,53932AL0100005-06
Alabama,2023,AL,53932.0,53932AL0100006-00
Alabama,2023,AL,53932.0,53932AL0100006-01
Alabama,2023,AL,53932.0,53932AL0100006-02
Alabama,2023,AL,53932.0,53932AL0100006-03
Alabama,2023,AL,53932.0,53932AL0100006-04
Alabama,2023,AL,53932.0,53932AL0100006-05
Alabama,2023,AL,53932.0,53932AL0100006-06
Alabama,2023,AL,53932.0,53932AL0100014-00
Alabama,2023,AL,53932.0,53932AL0100014-01
Alabama,2023,AL,53932.0,53932AL0100014-02
Alabama,2023,AL,53932.0,53932AL0100014-03
Alabama,2023,AL,53932.0,53932AL0110001-00
Alabama,2023,AL,53932.0,53932AL0110001-01
Alabama,2023,AL,53932.0,53932AL0110001-02
Alabama,2023,AL,53932.0,53932AL0110001-03
Alabama,2023,AL,53932.0,53932AL0110002-00
Alabama,2023,AL,53932.0,53932AL0110002-01
Alabama,2023,AL,53932.0,53932AL0110002-02
Alabama,2023,AL,53932.0,53932AL0110002-03
Alabama,2023,AL,53932.0,53932AL0110003-00
Alabama,2023,AL,53932.0,53932AL0110003-01
Alabama,2023,AL,53932.0,53932AL0110003-02
Alabama,2023,AL,53932.0,53932AL0110003-03
Alabama,2023,AL,53932.0,53932AL0110004-00
Alabama,2023,AL,53932.0,53932AL0110004-01
Alabama,2023,AL,53932.0,53932AL0110004-02
Alabama,2023,AL,53932.0,53932AL0110004-03
Alabama,2023,AL,53932.0,53932AL0110004-04
Alabama,2023,AL,53932.0,53932AL0110004-05
Alabama,2023,AL,53932.0,53932AL0110004-06
Alabama,2023,AL,53932.0,53932AL0110005-00
Alabama,2023,AL,53932.0,53932AL0110005-01
Alabama,2023,AL,53932.0,53932AL0110005-02
Alabama,2023,AL,53932.0,53932AL0110005-03
Alabama,2023,AL,53932.0,53932AL0110005-04
Alabama,2023,AL,53932.0,53932AL0110005-05
Alabama,2023,AL,53932.0,53932AL0110005-06
Alabama,2023,AL,53932.0,53932AL0110006-00
Alabama,2023,AL,53932.0,53932AL0110006-01
Alabama,2023,AL,53932.0,53932AL0110006-02
Alabama,2023,AL,53932.0,53932AL0110006-03
Alabama,2023,AL,53932.0,53932AL0110006-04
Alabama,2023,AL,53932.0,53932AL0110006-05
Alabama,2023,AL,53932.0,53932AL0110006-06
Alabama,2023,AL,53932.0,53932AL0110014-00
Alabama,2023,AL,53932.0,53932AL0110014-01
Alabama,2023,AL,53932.0,53932AL0110014-02
Alabama,2023,AL,53932.0,53932AL0110014-03
Alabama,2023,AL,53932.0,53932AL0100010-00
Alabama,2023,AL,53932.0,53932AL0100010-01
Alabama,2023,AL,53932.0,53932AL0100010-02
Alabama,2023,AL,53932.0,53932AL0100010-03
Alabama,2023,AL,53932.0,53932AL0100011-00
Alabama,2023,AL,53932.0,53932AL0100011-01
Alabama,2023,AL,53932.0,53932AL0100011-02
Alabama,2023,AL,53932.0,53932AL0100011-03
Alabama,2023,AL,53932.0,53932AL0100012-00
Alabama,2023,AL,53932.0,53932AL0100012-01
Alabama,2023,AL,53932.0,53932AL0100012-02
Alabama,2023,AL,53932.0,53932AL0100012-03
Alabama,2023,AL,53932.0,53932AL0100012-04
Alabama,2023,AL,53932.0,53932AL0100012-05
Alabama,2023,AL,53932.0,53932AL0100012-06
Alabama,2023,AL,53932.0,53932AL0100013-00
Alabama,2023,AL,53932.0,53932AL0100013-01
Alabama,2023,AL,53932.0,53932AL0100013-02
