Location,Average Lowest-Cost Bronze Premium,Average Lowest-Cost Silver Premium,Average Benchmark Premium,Average Lowest-Cost Gold Premium,Number of Individuals Who Selected a Marketplace Plan,Expansion Group Enrollment,Expansion Group - Newly Eligible Enrollment,Expansion Group - Not Newly Eligible Enrollment,Total Medicaid Enrollment,Expansion Enrollment as a Percent of Total Enrollment,Parents (in a family of three),Other Adults (for an individual),Total Medicare Enrollment,Traditional Medicare Enrollment,Traditional Medicare Enrollment Percent of Total Enrollment,Medicare Advantage and Other Health Plan Enrollment,Medicare Advantage and Other Health Plan Enrollment Percent of Total Enrollment
Alabama,433.0,632.0,645.0,706.0,477838.0,0.0,0.0,0.0,1060096.0,0.0,0.18,0.0,1118019.0,453494.0,0.406,664525.0,0.594
Alaska,669.0,1019.0,1032.0,912.0,28736.0,65471.0,65470.0,1.0,210365.0,0.3112257267,1.38,1.38,118047.0,114940.0,0.974,3107.0,0.026
Arizona,430.0,519.0,532.0,602.0,423025.0,509183.0,110315.0,398868.0,1932524.0,0.2634808158,1.38,1.38,1499414.0,744546.0,0.497,754868.0,0.503
Arkansas,447.0,753.0,774.0,647.0,166639.0,233965.0,226416.0,7549.0,802955.0,0.2913799653,1.38,1.38,678732.0,372890.0,0.549,305842.0,0.451
California,440.0,522.0,570.0,572.0,1979504.0,5024843.0,5005117.0,19726.0,14750830.0,0.3406481534,1.38,1.38,6933303.0,3414748.0,0.493,3518554.0,0.507
Colorado,422.0,535.0,557.0,515.0,282481.0,381904.0,369440.0,12464.0,1209801.0,0.3156750573,1.38,1.38,1036586.0,496054.0,0.479,540532.0,0.521
Connecticut,623.0,757.0,870.0,805.0,151151.0,314988.0,287714.0,27274.0,1059391.0,0.2973293147,1.38,1.38,742808.0,324802.0,0.437,418006.0,0.563
Delaware,542.0,685.0,691.0,727.0,52931.0,68377.0,9274.0,59103.0,227223.0,0.3009246423,1.38,1.38,245205.0,166952.0,0.681,78253.0,0.319
District of Columbia,505.0,565.0,610.0,649.0,14930.0,119001.0,76533.0,42468.0,261754.0,0.4546291556,2.21,2.15,96247.0,64439.0,0.67,31808.0,0.33
Florida,505.0,674.0,683.0,640.0,4735415.0,0.0,0.0,0.0,4099189.0,0.0,0.26,0.0,5133537.0,2249967.0,0.438,2883570.0,0.562
Georgia,485.0,604.0,615.0,638.0,1510852.0,0.0,0.0,0.0,1972831.0,0.0,0.29,0.0,1944905.0,877588.0,0.451,1067317.0,0.549
Hawaii,414.0,533.0,541.0,542.0,24606.0,130685.0,16687.0,113998.0,395710.0,0.3302544793,1.38,1.38,306382.0,142389.0,0.465,163993.0,0.535
Idaho,346.0,484.0,490.0,511.0,117373.0,88751.0,88751.0,0.0,342565.0,0.2590778392,1.38,1.38,394446.0,202558.0,0.514,191888.0,0.486
Illinois,436.0,635.0,646.0,539.0,465985.0,814097.0,728038.0,86059.0,2816066.0,0.2890901705,1.38,1.38,2406387.0,1375627.0,0.572,1030760.0,0.428
Indiana,405.0,473.0,474.0,646.0,359240.0,517848.0,517848.0,0.0,1721774.0,0.3007642118,1.38,1.38,1376933.0,698298.0,0.507,678635.0,0.493
Iowa,359.0,497.0,501.0,466.0,136833.0,179380.0,164488.0,14892.0,597068.0,0.3004347913,1.38,1.38,685807.0,431153.0,0.629,254654.0,0.371
Kansas,508.0,650.0,670.0,684.0,200046.0,0.0,0.0,0.0,374764.0,0.0,0.38,0.0,589686.0,393633.0,0.668,196054.0,0.332
Kentucky,481.0,577.0,590.0,667.0,97374.0,464026.0,464026.0,0.0,1345767.0,0.3448041154,1.38,1.38,988571.0,459098.0,0.464,529472.0,0.536
Louisiana,447.0,637.0,646.0,676.0,292994.0,742292.0,507292.0,235000.0,1794729.0,0.4135955902,1.38,1.38,938891.0,414647.0,0.442,524244.0,0.558
Maine,525.0,696.0,709.0,752.0,64678.0,96688.0,77433.0,19255.0,371862.0,0.260010434,1.38,1.38,378585.0,161469.0,0.427,217115.0,0.573
Maryland,283.0,403.0,414.0,404.0,247243.0,331544.0,331544.0,0.0,1288374.0,0.2573352148,1.38,1.38,1148648.0,872996.0,0.76,275652.0,0.24
Massachusetts,393.0,476.0,494.0,575.0,389191.0,344092.0,0.0,344092.0,1941740.0,0.1772080711,1.38,1.38,1456387.0,939781.0,0.645,516606.0,0.355
Michigan,384.0,513.0,523.0,561.0,531083.0,716393.0,672044.0,44349.0,2337596.0,0.3064657024,1.38,1.38,2250601.0,864969.0,0.384,1385633.0,0.616
Minnesota,384.0,437.0,448.0,501.0,151512.0,212268.0,212268.0,0.0,1148946.0,0.1847501971,1.38,1.38,1150958.0,467163.0,0.406,683796.0,0.594
Mississippi,589.0,661.0,662.0,845.0,338159.0,0.0,0.0,0.0,649345.0,0.0,0.22,0.0,641558.0,367011.0,0.572,274547.0,0.428
Missouri,465.0,604.0,605.0,579.0,417000.0,350174.0,350174.0,0.0,1196085.0,0.2927668184,1.38,1.38,1331378.0,625185.0,0.47,706193.0,0.53
